"ref" "Longitude" "Latitude" "Depth" "Station" "d53Cr" "Cr (ng/kg)" "Salinity" "O2 (ml/L)" "Cr [nmol_kg]" "Cruise" "Cast" "Sample ID" "neutral_density" "Potential Temperature" "NO3 + NO2" "Cr [ng_kg]" "NO3" "2 SEM" "Cr(III)" "Cr(III) error" "%Cr(III)" "%Cr(III) error" "Cr(VI) + CR(III)NR" "Cr(VI) + CR(III)NR error" "Event" "Elevation [m]" "TPM [mg/l] (Filtration)" "Mn2+ [µg/l] (total dissolved, Atomic absor...)" "Mn2+ [µg/l] (dissolved, Atomic absorption ...)" "Mn part [ng/l] (Atomic absorption spectrometr...)" "Fe [µg/l] (dissolved, Atomic absorption ...)" "Fe [µg/l] (particulate, Atomic absorptio...)" "Cr [µg/l] (dissolved, Atomic absorption ...)" "Cr [µg/l] (particulate, Atomic absorptio...)" "Cu [µg/l] (dissolved, Atomic absorption ...)" "Cu [µg/l] (particulate, Atomic absorptio...)" "Ni [µg/l] (dissolved, Atomic absorption ...)" "Ni [µg/l] (particulate, Atomic absorptio...)" "Co [µg/l] (dissolved, Atomic absorption ...)" "Co [µg/l] (particulate, Atomic absorptio...)" "Cd [µg/l] (dissolved, Atomic absorption ...)" "Cd [µg/l] (particulate, Atomic absorptio...)" "CrTOT (nM)" "dCrTOT53 (‰)" "2 s.d. (‰)" "O2" "error53Cr" "PO4" "Si(OH)4" "Water Mass" "date_time [UTC]" "trace_metal_rosette_cast_number" "ace_event_number" "ace_sample_number" "internal_error [‰]"
"Janssen2020" 157.999333333333 46.0005 50 "3" 1.093 NA 32.632 NA NA "KM1713" "1" "3-1-14" 25.485 7.78 13.3 163 3.14 0.027 0.18 0.02 5.7 0.6 2.96 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.999333333333 46.0005 75 "3" 1.082 NA 32.714 NA NA "KM1713" "1-15" "3-1-12" 25.719 6.62 15.3 162 3.12 0.015 0.24 0.05 7.8 1.6 2.88 0.05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 160.9 46.0131666666667 75 "3" NA NA 32.753 NA NA "KM1713" "18-32" "3-18-2" 25.721 6.84 12.8 NA NA NA 0.11 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.999333333333 46.0005 100 "3" 1.077 NA 32.815 NA NA "KM1713" "1" "3-1-10" 25.833 6.39 15.8 162 3.12 0.028 0.16 0.02 5.2 0.5 2.96 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.999333333333 46.0005 150 "3" 1.104 NA 33.756 NA NA "KM1713" "1" "3-1-6" 26.673 6.18 24.5 164 3.15 0.028 0.28 0.03 9 0.9 2.87 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.999333333333 46.0005 200 "3" 1.078 NA 33.804 NA NA "KM1713" "1" "3-1-2" 26.764 5.73 27.7 166 3.19 0.023 0.15 0.01 4.7 0.4 3.04 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158.0085 41.9971666666667 10 "4" 1.135 NA 32.724 NA NA "KM1713" "2" "4-2-22" 23.824 16.81 0.8 158 3.04 0.026 0.17 0.04 5.5 1.2 2.84 0.04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.992833333333 42.0106666666667 10 "4" 1.119 NA 32.724 NA NA "KM1713" "8" "4-8-2" 23.824 16.81 0.8 156 3 0.03 0.17 0.04 5.5 1.2 2.84 0.04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.991833333333 42.0046666666667 10 "4" 1.096 NA 32.724 NA NA "KM1713" "17" "4-17-4" 23.824 16.81 0.8 155 2.98 0.03 0.17 0.04 5.5 1.2 2.84 0.04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158.0085 41.9971666666667 30 "4" 1.143 NA 32.986 NA NA "KM1713" "2" "4-17-18" 24.505 14.67 0.3 159 3.05 0.025 0.22 0.02 7.1 0.7 2.83 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158.0085 41.9971666666667 50 "4" 1.132 NA 33.275 NA NA "KM1713" "2" "4-2-14" 25.335 11.71 3.6 155 2.99 0.022 0.15 0.02 5.1 0.6 2.86 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.991833333333 42.0046666666667 50 "4" 1.112 NA 33.275 NA NA "KM1713" "17" "4-17-1" 25.335 11.71 3.6 158 3.04 0.026 0.15 0.02 5.1 0.6 2.86 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158.0085 41.9971666666667 75 "4" 1.118 NA 33.215 NA NA "KM1713" "2" "4-2-12" 25.69 9.47 9.9 158 3.04 0.029 0.15 0.01 4.9 0.5 2.89 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158.0085 41.9971666666667 100 "4" 1.121 NA 33.45 NA NA "KM1713" "2" "4-2-10" 25.857 9.61 10.3 156 3 0.034 0.16 0.02 5.2 0.5 2.84 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158.0085 41.9971666666667 150 "4" 1.122 NA 33.952 NA NA "KM1713" "2" "4-2-6" 26.352 9.1 14.8 159 3.05 0.037 0.1 0.01 3.4 0.3 2.94 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158.0085 41.9971666666667 200 "4" 1.105 NA 33.907 NA NA "KM1713" "2" "4-2-2" 26.426 8.45 15.5 158 3.04 0.029 0.12 0.01 3.8 0.4 2.92 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158 33.9998333333333 10 "5" 1.137 NA 34.651 NA NA "KM1713" "1" "5-1-22" 23.448 23.79 0.1 157 3.02 0.022 0.09 0.02 3.1 0.7 2.93 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.961 34.0138333333333 10 "5" 1.163 NA 34.651 NA NA "KM1713" "15" "5-15-15" 23.448 23.79 0.1 157 3.02 0.022 0.09 0.02 3.1 0.7 2.93 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158 33.9998333333333 30 "5" 1.092 NA 34.343 NA NA "KM1713" "1" "5-1-18" 24.665 18.49 0.1 156 3.01 0.045 0.1 0.01 3.4 0.3 2.9 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158 33.9998333333333 50 "5" NA NA 34.359 NA NA "KM1713" "1" "5-1-14" 25.122 16.68 0.2 NA NA NA 0.09 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158 33.9998333333333 75 "5" 1.131 NA 34.282 NA NA "KM1713" "1" "5-1-15" 25.515 14.71 0.2 157 3.02 0.027 0.26 0.03 8.5 0.9 2.76 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158 33.9998333333333 90 "5" 1.13 NA 34.263 NA NA "KM1713" "1" "5-1-10" 25.639 14.08 NA 157 3.02 0.032 0.1 0.02 3.3 0.6 2.95 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.961 34.0138333333333 90 "5" 1.136 NA 34.263 NA NA "KM1713" "15" "5-15-9" 25.639 14.08 NA 160 3.08 0.021 0.1 0.02 3.3 0.6 2.95 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158 33.9998333333333 150 "5" 1.066 NA 34.286 NA NA "KM1713" "1" "5-1-6" 25.954 12.68 9.1 161 3.09 0.041 0.08 0.01 2.6 0.3 3.01 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 158 33.9998333333333 200 "5" 1.129 NA 34.232 NA NA "KM1713" "1" "5-1-2" 26.114 11.67 10.9 157 3.03 0.016 0.09 0.01 2.8 0.4 2.99 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.961 34.0138333333333 200 "5" 1.161 NA 34.232 NA NA "KM1713" "15" "5-15-7" 26.114 11.67 10.9 162 3.12 0.078 0.09 0.01 2.8 0.4 2.99 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.961 34.0138333333333 300 "5" 1.076 NA 34.151 NA NA "KM1713" "15" "5-15-6" 26.283 10.45 NA 154 2.96 0.05 0.08 0.01 2.5 0.3 2.88 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.961 34.0138333333333 400 "5" 1.047 NA 34.08 NA NA "KM1713" "15" "5-15-5" 26.52 8.79 NA 151 2.9 0.04 0.13 0.01 4.5 0.5 2.77 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.961 34.0138333333333 600 "5" 1.042 NA 34.01 NA NA "KM1713" "15" "5-15-3" 26.985 5.42 NA 181 3.48 0.041 0.1 0.01 2.9 0.3 3.38 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.961 34.0138333333333 800 "5" 0.956 NA 34.188 NA NA "KM1713" "15" "5-15-1" 27.311 4.09 NA 193 3.7 0.058 0.15 0.01 4 0.4 3.55 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 157.964333333333 33.9981666666667 1000 "5" 0.938 NA 34.342 NA NA "KM1713" "9" "5-9-2" 27.505 3.54 NA 199 3.83 0.038 0.12 0.01 3.1 0.3 3.71 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 160.253833333333 24.1671666666667 10 "6" 1.145 NA 35.003 NA NA "KM1713" "1" "6-1-2" 22.508 27.67 0.0589 155 2.99 0.03 0.1 0.03 3.2 1.1 2.89 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 160.259166666667 24.1701666666667 10 "6" 1.149 NA 35.003 NA NA "KM1713" "5" "6-5-2" 22.508 27.67 0.0589 155 2.98 0.021 0.1 0.03 3.2 1.1 2.89 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 160.253833333333 24.1671666666667 100 "6" 1.141 NA 35.172 NA NA "KM1713" "1" "6-1-1" 24.302 22.2 0.2 158 3.04 0.024 0.07 0.01 2.4 0.2 2.96 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.302 50.514 30 NA NA NA NA NA 153.30907144962 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1392" -792 160 0.68 45 166 4.51 0.97 4.24 0.029 1.73 0.018 0.97 0.55 1.03 0.67 0.0624 7e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.302 50.514 123 NA NA NA NA NA 0.361577998701935 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1392" -792 192 1.08 43 35 0.7 0.07 0.01 0.003 0.02 0.001 0.49 0.12 0.25 0.04 0.504 3e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.302 50.514 403 NA NA NA NA NA 28.5646618974529 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1392" -792 196 0.96 105 54 3.12 0.23 0.79 0.017 1.16 0.007 1.39 0.28 1.267 0.51 0.252 7e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.302 50.514 603 NA NA NA NA NA 6.1468259779329 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1392" -792 31 0.704 76 12 3.75 0.1 0.17 0.005 0.72 0.003 0.05 0.03 0.965 0.003 0.055 1e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.302 50.514 693 NA NA NA NA NA 2.16946799221161 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1392" -792 274 0.16 44 40 5.42 0.2 0.06 0.004 0.35 0.001 0.27 0.28 1.08 0.246 0.049 2e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.302 50.514 762 NA NA NA NA NA 43.7509378429341 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1392" -792 105 0.48 91 36 4.61 0.11 1.21 0.002 0.92 0.006 1.27 0.22 0.73 0.022 0.09 1e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.302 50.514 781 NA NA NA NA NA 131.614391527504 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1392" -792 148 0.4 29 184 4.53 0.31 3.64 NA 0.46 0.006 0.08 0.33 1.02 0.482 0.034 0.0043 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.3035 50.515 80 NA NA NA NA NA 0.0361577998701935 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1395" -782 85 0.064 20 54 0.65 0.28 0.001 0.001 0.022 0.001 0.28 0.21 0.128 0.005 0.072 1e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.3035 50.515 200 NA NA NA NA NA 0.361577998701935 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1395" -782 86 0.032 25 112 0.64 0.19 0.01 0.003 0.024 0.003 0.4 0.02 0.186 0.103 0.12 2e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.3035 50.515 300 NA NA NA NA NA 0.867787196884644 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1395" -782 162 0.052 28 80 0.58 0.8 0.024 0.008 0.028 0.002 0.36 0.16 0.218 0.016 0.612 3e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.3035 50.515 500 NA NA NA NA NA 0.253104599091355 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1395" -782 126 0.104 30 120 0.91 1.66 0.007 0.017 0.028 0.007 0.44 0.35 0.202 2.47 0.456 2e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.3035 50.515 600 NA NA NA NA NA 0.216946799221161 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1395" -782 65 0.018 10 154 0.52 1.43 0.006 0.253 0.021 0.033 0.35 1.56 0.186 1.14 0.16 0.0011 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.3035 50.515 700 NA NA NA NA NA 0.433893598442322 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1395" -782 53 0.044 32 93 0.56 0.41 0.012 0.042 0.02 0.001 0.32 0.04 0.18 0.065 0.11 1e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.3035 50.515 770 NA NA NA NA NA 0.144631199480774 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1395" -782 104 0.096 28 136 0.77 0.75 0.004 0.02 0.02 0.014 0.35 0.16 0.173 0.372 0.216 0.0016 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.291 50.5077 121 NA NA NA NA NA 0.831629397014451 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1397" -796 48 0.206 140 70 0.76 0.28 0.023 0.001 0.015 0.007 0.96 0.02 0.804 0.031 0.0255 3e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.291 50.5077 301 NA NA NA NA NA 1.95252119299045 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1397" -796 67 0.31 50 168 0.7 0.16 0.054 0.001 0.035 0.002 1.44 1.01 0.698 0.27 0.03 3e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.291 50.5077 402 NA NA NA NA NA 1.41015419493755 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1397" -796 73 0.05 39 28 0.93 0.11 0.039 0.003 0.026 0.007 1.1 0.22 1.01 0.006 0.0314 3e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.291 50.5077 602 NA NA NA NA NA 4.80898738273574 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1397" -796 60 0.7 149 48 0.91 0.14 0.133 0.001 0.015 0.002 0.64 0.02 0.85 0.01 0.0306 0.0012 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.291 50.5077 701 NA NA NA NA NA 42.6662038468283 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1397" -796 108 0.43 130 129 2.26 0.35 1.18 0.001 0.119 0.002 2.12 0.27 1.576 1.94 0.0504 3e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.291 50.5077 743 NA NA NA NA NA 0.903944996754838 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1397" -796 41 NA 62 78 0.97 0.7 0.025 0.006 0.03 0.01 0.95 0.53 0.95 1.36 0.03 1e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.291 50.5077 788 NA NA NA NA NA 1.73557439376929 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1397" -796 220 0.264 48 13 0.98 0.76 0.048 0.001 0.046 0.003 1.51 0.14 0.925 0.005 0.0403 1e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.5178 50.4417 33 NA NA NA NA NA 0.650840397663483 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1400" -308 130 0.102 10 138 0.2 0.16 0.018 0.01 0.06 0.011 0.53 0.45 0.078 0.542 0.0086 3e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.5178 50.4417 83 NA NA NA NA NA 1.59094319428851 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1400" -308 160 0.144 54 123 0.69 0.28 0.044 0.02 0.017 0.021 0.59 0.6 0.151 0.98 0.0224 0.0011 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.5178 50.4417 124 NA NA NA NA NA 2.7841505900049 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1400" -308 337 0.112 16 94 0.44 0.38 0.077 0.034 0.018 0.014 0.37 0.61 0.588 1.18 0.0181 0.0017 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.5178 50.4417 154 NA NA NA NA NA 1.19320739571639 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1400" -308 118 0.18 38 81 0.51 0.34 0.033 0.022 0.016 0.032 0.49 0.56 0.136 1.55 0.0166 9e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.5178 50.4417 190 NA NA NA NA NA 2.35025699156258 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1400" -308 126 0.05 34 183 0.6 0.6 0.065 0.016 0.022 0.008 0.36 0.82 0.073 0.16 0.0178 0.0018 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.5178 50.4417 256 NA NA NA NA NA 2.53104599091355 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1400" -308 403 0.012 76 175 0.95 0.5 0.07 0.019 0.066 0.025 0.88 0.41 0.306 1.19 0.038 0.001 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.5178 50.4417 290 NA NA NA NA NA 1.69941659389909 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1400" -308 77 0.35 72 69 0.75 0.67 0.047 0.013 0.023 0.021 0.7 0.38 0.333 0.86 0.023 3e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.36 50.4767 34 NA NA NA NA NA 0.795471597144257 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1401" -690 150 0.16 37 67 0.47 0.25 0.022 0.03 0.048 0.022 0.22 0.6 0.037 0.282 0.036 7e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.36 50.4767 82 NA NA NA NA NA 1.91636339312026 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1401" -690 34 0.152 133 149 0.37 0.53 0.053 0.014 0.018 0.007 0.31 0.74 0.116 1.48 0.0421 2e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.36 50.4767 123 NA NA NA NA NA 2.67567719039432 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1401" -690 74 0.068 60 98 0.63 0.71 0.074 0.022 0.012 0.004 0.95 0.57 0.164 0.5 0.0424 7e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.36 50.4767 204 NA NA NA NA NA 2.74799279013471 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1401" -690 77 0.254 52 48 0.53 0.52 0.076 0.014 0.015 0.009 0.48 0.33 0.256 0.235 0.025 7e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.36 50.4767 307 NA NA NA NA NA 1.98867899286064 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1401" -690 164 0.046 46 55 0.61 0.43 0.055 0.007 0.025 0.006 0.43 0.34 0.168 0.214 0.03 2e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.36 50.4767 408 NA NA NA NA NA 1.73557439376929 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1401" -690 240 0.15 38 62 0.35 0.55 0.048 0.012 0.024 0.005 0.78 0.36 0.068 0.59 0.0306 5e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.36 50.4767 623 NA NA NA NA NA 2.13331019234142 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1401" -690 360 0.09 24 63 0.52 1.38 0.059 0.063 0.054 0.018 1.65 0.32 0.057 0.06 0.0365 3e-04 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Demina1989" 155.1633 50.575 81 NA NA NA NA NA 0.686998197533677 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "AMK11A-1418" -994 183 NA 7 NA 0.06 NA 0.019 NA 0.021 NA NA NA 0.171 NA 0.0084 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
